run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
254604,1148151,9647,85,755,121,327,9647,85,755,121,327
254606,2779538,23107,219,1836,245,722,23107,219,1836,245,722
254621,2858401,24599,207,1929,235,726,24599,207,1929,235,726
254629,1787213,15177,129,1118,143,443,15177,129,1118,143,443
254630,1337617,11486,119,931,117,359,11486,119,931,117,359
254632,736424,6203,57,488,75,179,6203,57,488,75,179
254640,1677453,14474,145,1145,171,475,14474,145,1145,171,475
254644,868122,7522,77,613,88,269,7522,77,613,88,269
254646,1173643,10032,85,705,93,280,10032,85,705,93,280
254648,3325743,28559,264,2162,307,850,28559,264,2162,307,850
254649,601168,5266,60,457,67,181,5266,60,457,67,181
254651,4546959,39055,392,3013,448,1203,39055,392,3013,448,1203
254652,1479259,12688,125,972,147,381,12688,125,972,147,381
254653,1836222,15893,140,1262,167,502,15893,140,1262,167,502
254654,427511,3744,47,322,51,139,3744,47,322,51,139
255249,258026,1996,23,172,23,72,1996,23,172,23,72
255251,2444304,19204,186,1635,221,633,19204,186,1635,221,633
255252,1597282,12738,133,1078,160,412,12738,133,1078,160,412
255253,1702827,13647,135,1095,154,402,13647,135,1095,154,402
255255,409553,3261,31,271,37,108,3261,31,271,37,108
255256,855587,7026,62,584,77,216,7026,62,584,77,216
255275,2355974,17978,185,1493,207,565,17978,185,1493,207,565
255276,2278569,17594,176,1459,198,556,17594,176,1459,198,556
255350,702317,5149,63,484,65,173,5149,63,484,65,173
255351,543243,4154,44,350,39,126,4154,44,350,39,126
255352,124854,989,13,85,13,40,989,13,85,13,40
255418,458583,3619,49,310,60,133,3619,49,310,60,133
255419,273179,2173,18,175,23,67,2173,18,175,23,67
255420,510809,3965,43,333,38,109,3965,43,333,38,109
255421,2458523,19641,180,1684,211,587,19641,180,1684,211,587
255463,1085874,8498,134,1566,112,285,8498,134,1566,112,285
255465,2745410,22356,320,4065,244,683,22356,320,4065,244,683
255466,580119,4827,62,875,58,164,4827,62,875,58,164
255467,428690,3532,49,636,45,116,3532,49,636,45,116
