run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
290323,1181058,9355,62204,77639,57917,16560,9355,62204,77639,57917,16560
290324,521836,4229,27521,34278,25675,7366,4229,27521,34278,25675,7366
290327,100026,818,5240,6804,4897,1469,818,5240,6804,4897,1469
290350,639943,5091,32730,41888,31224,9046,5091,32730,41888,31224,9046
290374,484115,3792,33021,41829,31001,8884,3792,33021,41829,31001,8884
290375,279097,2162,14255,18238,13516,3968,2162,14255,18238,13516,3968
290399,40017,366,2968,3513,2833,738,366,2968,3513,2833,738
290401,157134,1327,11730,13839,11150,3152,1327,11730,13839,11150,3152
290411,369623,3074,22562,27248,21537,6063,3074,22562,27248,21537,6063
290412,606179,4919,40519,44458,38913,9719,4919,40519,44458,38913,9719
290425,1292759,10742,78159,95814,74091,21274,10742,78159,95814,74091,21274
290426,36179,288,2095,2618,2075,604,288,2095,2618,2075,604
290427,414413,3449,24715,30421,23509,6705,3449,24715,30421,23509,6705
290428,328743,2663,18728,23140,17613,4996,2663,18728,23140,17613,4996
290456,214170,1791,12799,15515,12174,3430,1791,12799,15515,12174,3430
290458,177468,1474,10699,12973,9914,2913,1474,10699,12973,9914,2913
290459,2106573,17208,124532,154309,118782,33915,17208,124532,154309,118782,33915
290469,1318432,10828,78169,97468,75408,21581,10828,78169,97468,75408,21581
290499,440466,3539,25622,31720,24373,7100,3539,25622,31720,24373,7100
290500,35778,290,2068,2711,2066,610,290,2068,2711,2066,610
290538,279185,2288,16464,20354,15430,4506,2288,16464,20354,15430,4506
290539,642668,5215,37259,46109,35434,10065,5215,37259,46109,35434,10065
290540,551712,4500,32204,39877,30472,8665,4500,32204,39877,30472,8665
290544,200378,1651,11603,14666,11053,3182,1651,11603,14666,11053,3182
290549,920791,7403,54074,67520,51078,14833,7403,54074,67520,51078,14833
290550,411214,3334,24153,29780,22929,6507,3334,24153,29780,22929,6507
290553,717269,5835,42725,52389,40368,11384,5835,42725,52389,40368,11384
290588,41613,350,2506,2815,2307,631,350,2506,2815,2307,631
290590,1151685,9196,67779,83282,64870,18512,9196,67779,83282,64870,18512
290612,122062,1026,7151,8959,6759,1893,1026,7151,8959,6759,1893
290613,77896,650,4442,5554,4317,1215,650,4442,5554,4317,1215
290614,96062,846,5591,7015,5238,1574,846,5591,7015,5238,1574
290615,67331,569,4154,5009,3871,1114,569,4154,5009,3871,1114
290627,249185,2064,14602,18026,13847,3920,2064,14602,18026,13847,3920
290632,267293,2134,15702,19712,14980,4288,2134,15702,19712,14980,4288
290645,2520420,20401,150535,185145,142535,40222,20401,150535,185145,142535,40222
290660,971003,7801,57592,71231,54804,15620,7801,57592,71231,54804,15620
290665,767601,6474,45762,56288,43177,12109,6474,45762,56288,43177,12109
290941,500069,4220,29729,36072,28480,8053,4220,29729,36072,28480,8053
290943,3792061,30964,224099,276286,214252,61177,30964,224099,276286,214252,61177
290944,290118,2385,17336,21287,16482,4649,2385,17336,21287,16482,4649
290948,92935,775,5624,6781,5320,1511,775,5624,6781,5320,1511
290974,181587,1594,10750,13273,10278,2965,1594,10750,13273,10278,2965
290975,1133448,9200,68172,83318,64677,18422,9200,68172,83318,64677,18422
290976,532191,4485,31368,39125,30019,8548,4485,31368,39125,30019,8548
290979,3040894,24922,181248,224590,173248,49751,24922,181248,224590,173248,49751
290980,199286,1632,11739,14851,11167,3230,1632,11739,14851,11167,3230
291002,1700480,13663,101813,123053,96744,27427,13663,101813,123053,96744,27427
291003,1074617,8677,63718,78777,60469,17301,8677,63718,78777,60469,17301
291004,1605970,13201,95009,117596,90748,26162,13201,95009,117596,90748,26162
291005,500469,4223,29841,37200,28254,8098,4223,29841,37200,28254,8098
291035,962885,7825,56690,69952,54679,15446,7825,56690,69952,54679,15446
291037,97288,798,5894,6935,5632,1440,798,5894,6935,5632,1440
291041,1736554,13980,103911,127351,98607,27919,13980,103911,127351,98607,27919
291065,248966,2011,14858,18020,14157,3980,2011,14858,18020,14157,3980
291066,1315823,10509,77894,95964,74218,21116,10509,77894,95964,74218,21116
291069,72397,596,4310,5192,4063,1103,596,4310,5192,4063,1103
291093,1719693,14080,101053,123788,96705,27237,14080,101053,123788,96705,27237
291100,246126,2054,14223,17806,13832,3911,2054,14223,17806,13832,3911
291101,1187223,9785,72379,86465,68513,19225,9785,72379,86465,68513,19225
291110,349238,2802,20624,25362,19162,5273,2802,20624,25362,19162,5273
291111,393653,3222,23078,28748,21708,5957,3222,23078,28748,21708,5957
291116,1925509,15778,113983,140294,105641,29662,15778,113983,140294,105641,29662
291143,2396877,19479,143041,173698,135109,37744,19479,143041,173698,135109,37744
291209,2235821,18114,133991,162122,127723,35451,18114,133991,162122,127723,35451
291240,1016811,8357,61695,75510,58479,16656,8357,61695,75510,58479,16656
291257,3105462,25101,187229,227213,176455,49915,25101,187229,227213,176455,49915
291262,33896,248,2068,2617,1992,551,248,2068,2617,1992,551
291263,2461099,20233,150338,184012,139884,40283,20233,150338,184012,139884,40283
291265,536496,4386,32573,39651,30380,8653,4386,32573,39651,30380,8653
291266,847015,7060,51583,63795,48439,13755,7060,51583,63795,48439,13755
291282,209021,1814,12358,15263,11810,3449,1814,12358,15263,11810,3449
291283,509379,4158,31075,37686,29656,8282,4158,31075,37686,29656,8282
291284,1079975,8899,65012,79319,61754,17575,8899,65012,79319,61754,17575
291285,169494,1429,10020,12671,9541,2686,1429,10020,12671,9541,2686
291286,2887035,24105,174638,216101,165412,47210,24105,174638,216101,165412,47210
