run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
293587,1613725,13851,108111,126988,102937,27901,13851,108111,126988,102937,27901
293588,2443402,21259,163367,191687,154629,42175,21259,163367,191687,154629,42175
293686,1496075,12734,100512,113755,96244,24923,12734,100512,113755,96244,24923
293689,1910000,16274,126658,146246,121693,31976,16274,126658,146246,121693,31976
293690,102618,875,6707,7621,6397,1724,875,6707,7621,6397,1724
293691,964302,8340,62789,74548,60137,16253,8340,62789,74548,60137,16253
293695,745942,6395,48950,57336,46936,12614,6395,48950,57336,46936,12614
293696,142629,1219,9247,10976,8774,2424,1219,9247,10976,8774,2424
293740,931732,7839,60316,70310,57441,15316,7839,60316,70310,57441,15316
293741,3502159,29837,228971,268145,217999,58601,29837,228971,268145,217999,58601
293770,508282,4362,32852,38608,31436,8568,4362,32852,38608,31436,8568
293773,564190,4811,36854,42887,34582,9495,4811,36854,42887,34582,9495
293774,1708819,14257,112125,130799,106948,28710,14257,112125,130799,106948,28710
293776,167293,1467,10871,12797,10204,2747,1467,10871,12797,10204,2747
293799,223572,1889,14135,16957,13673,3693,1889,14135,16957,13673,3693
293805,1421783,11833,91296,107249,87657,23462,11833,91296,107249,87657,23462
293806,84203,661,5911,6448,5678,1407,661,5911,6448,5678,1407
293809,510804,4361,32551,38288,31319,8424,4361,32551,38288,31319,8424
293829,450887,3806,28652,33724,27501,7553,3806,28652,33724,27501,7553
293830,738826,6337,46833,55357,44560,12388,6337,46833,55357,44560,12388
293831,1958924,16598,125100,147488,119526,32416,16598,125100,147488,119526,32416
293856,2596831,22058,169137,197478,161267,43451,22058,169137,197478,161267,43451
293886,562259,4713,35987,42164,34132,9116,4713,35987,42164,34132,9116
293891,668525,5746,43352,50638,41437,11242,5746,43352,50638,41437,11242
293893,1807242,15307,116876,137802,112477,30345,15307,116876,137802,112477,30345
293896,962538,8333,62766,74544,60070,16189,8333,62766,74544,60070,16189
293898,618402,5404,39821,47395,38212,10406,5404,39821,47395,38212,10406
