run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
280282,96110,783,8346,10885,7706,2256,783,8346,10885,7706,2256
280283,407066,3439,35974,45757,34072,9863,3439,35974,45757,34072,9863
280284,63120,539,5527,6939,5276,1555,539,5527,6939,5276,1555
280285,506040,4277,44291,56503,42135,12297,4277,44291,56503,42135,12297
280286,2659047,22728,230309,293525,218729,63777,22728,230309,293525,218729,63777
280348,73717,631,6390,8159,5937,1745,631,6390,8159,5937,1745
280349,167272,1372,14293,18233,13687,3986,1372,14293,18233,13687,3986
280350,3431764,28582,293488,374481,276766,80987,28582,293488,374481,276766,80987
280351,655402,5602,55560,71355,52730,15355,5602,55560,71355,52730,15355
280374,1097854,9246,94698,119414,89701,26108,9246,94698,119414,89701,26108
280375,1280838,10827,109656,139072,103615,30171,10827,109656,139072,103615,30171
280403,1420262,11575,120941,154954,114074,33573,11575,120941,154954,114074,33573
280412,1019652,8633,88052,113178,81689,24014,8633,88052,113178,81689,24014
280413,412636,3527,35438,45787,32769,9735,3527,35438,45787,32769,9735
280415,188577,1607,16369,20934,14947,4409,1607,16369,20934,14947,4409
280419,430978,3588,36330,46706,34095,10011,3588,36330,46706,34095,10011
280518,2712747,23797,240231,309169,225278,65744,23797,240231,309169,225278,65744
280519,469996,4087,41204,52968,38894,11364,4087,41204,52968,38894,11364
280546,502850,4315,43502,55365,40638,11733,4315,43502,55365,40638,11733
280547,1024192,8745,88391,113388,82677,24214,8745,88391,113388,82677,24214
280550,641907,5353,54435,70198,50667,15066,5353,54435,70198,50667,15066
280551,599023,5110,51276,66203,48128,14148,5110,51276,66203,48128,14148
280574,511688,4323,43164,55171,40310,12023,4323,43164,55171,40310,12023
280575,1856352,15506,188095,205444,177442,45944,15506,188095,205444,177442,45944
280576,412496,3448,35187,45440,32949,9455,3448,35187,45440,32949,9455
280581,962898,8159,82474,105717,76932,22317,8159,82474,105717,76932,22317
280583,879453,7466,74890,96412,69949,20330,7466,74890,96412,69949,20330
280613,203542,1711,17007,21900,15811,4713,1711,17007,21900,15811,4713
280634,1090685,9057,92437,117639,86224,25165,9057,92437,117639,86224,25165
280636,376952,3045,32074,40846,29725,8714,3045,32074,40846,29725,8714
280637,1003399,8450,85784,108654,79622,22821,8450,85784,108654,79622,22821
280647,64414,554,5595,7144,5230,1458,554,5595,7144,5230,1458
280671,739551,6073,63235,80468,58518,16962,6073,63235,80468,58518,16962
280679,1311508,10981,114424,144098,105606,30193,10981,114424,144098,105606,30193
280705,673185,5642,58147,74272,53726,15840,5642,58147,74272,53726,15840
280706,301912,2531,25771,33312,23761,6962,2531,25771,33312,23761,6962
280729,464133,3776,39455,49992,36769,10597,3776,39455,49992,36769,10597
280753,90379,750,7633,9872,7056,2033,750,7633,9872,7056,2033
280754,320722,2701,27033,34638,25043,7250,2701,27033,34638,25043,7250
280755,610887,5062,51951,66101,48276,13859,5062,51951,66101,48276,13859
280756,1076872,8961,92639,117244,85866,24888,8961,92639,117244,85866,24888
280757,270607,2205,23142,29548,21436,6125,2205,23142,29548,21436,6125
280761,85050,701,7280,9090,6800,2032,701,7280,9090,6800,2032
280762,46067,403,4009,5078,3683,1032,403,4009,5078,3683,1032
280763,392351,3270,33573,42239,31063,8924,3270,33573,42239,31063,8924
280764,224133,1916,19365,24679,17902,5169,1916,19365,24679,17902,5169
280765,513228,4332,43976,56205,40558,11866,4332,43976,56205,40558,11866
280766,433800,3665,37573,47717,34949,10177,3665,37573,47717,34949,10177
280767,659005,5522,56398,72224,52545,15389,5522,56398,72224,52545,15389
280768,287279,2393,24642,31308,22910,6620,2393,24642,31308,22910,6620
280786,2687933,22365,230456,294551,214876,62352,22365,230456,294551,214876,62352
280787,356512,3004,31003,39376,28683,8287,3004,31003,39376,28683,8287
280793,121490,1030,10514,13416,9871,2792,1030,10514,13416,9871,2792
280842,1750945,14859,150062,191852,138211,39984,14859,150062,191852,138211,39984
280844,237506,2015,21018,26377,19031,5361,2015,21018,26377,19031,5361
280845,385856,3301,33790,43265,31164,8965,3301,33790,43265,31164,8965
280847,937277,7963,81300,103603,74356,21549,7963,81300,103603,74356,21549
280848,161394,1423,14235,17944,12960,3717,1423,14235,17944,12960,3717
280849,159242,1391,13932,17639,12492,3590,1391,13932,17639,12492,3590
280854,683659,5698,59947,76116,54601,15639,5698,59947,76116,54601,15639
280856,91210,764,7981,10105,7386,2099,764,7981,10105,7386,2099
280880,229524,1944,19872,25544,18140,5339,1944,19872,25544,18140,5339
280881,79947,657,7088,9026,6376,1839,657,7088,9026,6376,1839
280897,98889,817,8737,11103,7968,2311,817,8737,11103,7968,2311
280936,1759680,14911,152448,194554,140561,40401,14911,152448,194554,140561,40401
280943,247556,2053,21735,27378,19950,5710,2053,21735,27378,19950,5710
280947,1890474,16205,163860,209682,151477,43543,16205,163860,209682,151477,43543
280994,346682,2980,30128,37864,27844,7910,2980,30128,37864,27844,7910
280996,385388,3254,33263,42495,30860,8921,3254,33263,42495,30860,8921
280997,1477069,12617,127512,162885,117916,34014,12617,127512,162885,117916,34014
280998,2877778,24290,249641,319316,230109,66791,24290,249641,319316,230109,66791
280999,293763,2516,25778,32445,23386,6842,2516,25778,32445,23386,6842
281032,2131472,17816,184204,234355,169390,48663,17816,184204,234355,169390,48663
281033,427807,3688,37002,46728,34052,9702,3688,37002,46728,34052,9702
281035,1304093,11036,113273,143911,104283,30134,11036,113273,143911,104283,30134
281036,1760827,14906,151808,194688,140065,40681,14906,151808,194688,140065,40681
281060,202043,1719,806,1252,719,237,1719,806,1252,719,237
281061,213417,1738,890,1273,780,247,1738,890,1273,780,247
281062,3324168,28118,12888,19639,12111,4055,28118,12888,19639,12111,4055
281080,162419,1205,10078,15582,9333,3139,1205,10078,15582,9333,3139
281081,1167209,9852,100148,126982,92809,26515,9852,100148,126982,92809,26515
281179,1106973,9216,95725,120805,87710,25141,9216,95725,120805,87710,25141
281180,297591,2345,2090,3222,1971,682,2345,2090,3222,1971,682
281181,538086,4336,1117,1726,1022,359,4336,1117,1726,1022,359
281189,373353,3196,32558,41312,29872,8578,3196,32558,41312,29872,8578
281190,435652,3768,37897,48216,35110,10046,3768,37897,48216,35110,10046
281191,920986,7901,79319,101559,73400,21034,7901,79319,101559,73400,21034
281212,1315351,11043,113767,143802,104931,29805,11043,113767,143802,104931,29805
281213,513975,4459,44905,56759,41420,11828,4459,44905,56759,41420,11828
281240,1211329,10338,104265,132525,95953,27652,10338,104265,132525,95953,27652
281241,508379,4253,43443,56286,40067,11851,4253,43443,56286,40067,11851
281242,560646,4633,48527,62052,44620,12922,4633,48527,62052,44620,12922
281243,3734804,31120,320921,410381,295684,85299,31120,320921,410381,295684,85299
281244,308308,2558,26489,34108,24462,7006,2558,26489,34108,24462,7006
281271,188766,1577,16300,20582,15009,4382,1577,16300,20582,15009,4382
281273,474061,3954,41476,52278,37966,10760,3954,41476,52278,37966,10760
281275,239873,1958,20674,26250,18838,5434,1958,20674,26250,18838,5434
281277,474440,4022,41119,51725,38058,10799,4022,41119,51725,38058,10799
281301,1705168,14433,147325,187366,135350,39249,14433,147325,187366,135350,39249
281321,1101091,9083,95826,121804,87916,25242,9083,95826,121804,87916,25242
281415,332140,2886,28643,36628,26287,7568,2886,28643,36628,26287,7568
281443,433301,3717,36924,47825,34238,9815,3717,36924,47825,34238,9815
281444,503863,4287,43238,55130,40161,11532,4287,43238,55130,40161,11532
281446,718134,6016,61805,79340,57230,16507,6016,61805,79340,57230,16507
281449,130016,1119,11183,14336,10216,2996,1119,11183,14336,10216,2996
281450,729107,6137,63399,80464,58437,17068,6137,63399,80464,58437,17068
281562,3158763,26296,269947,341489,248268,71023,26296,269947,341489,248268,71023
281563,631550,5254,54116,68994,49840,14345,5254,54116,68994,49840,14345
281568,273855,2233,23508,29768,21716,6133,2233,23508,29768,21716,6133
281569,383822,3168,32705,42302,30386,8646,3168,32705,42302,30386,8646
281574,145492,1150,12357,15806,11377,3303,1150,12357,15806,11377,3303
281583,1499611,12556,128507,163692,119140,34010,12556,128507,163692,119140,34010
281592,502374,4174,42644,54539,39162,11164,4174,42644,54539,39162,11164
281633,1160573,9586,98044,124533,89748,25733,9586,98044,124533,89748,25733
281892,191932,1673,16830,21481,15328,4352,1673,16830,21481,15328,4352
281893,1761761,15058,155339,198451,140580,40270,15058,155339,198451,140580,40270
281894,1313644,11180,116704,147900,104801,29800,11180,116704,147900,104801,29800
281895,372416,3217,32202,41861,29094,8467,3217,32202,41861,29094,8467
281915,1021974,8707,90110,115038,83321,24194,8707,90110,115038,83321,24194
281916,342965,2974,30441,38736,27745,8085,2974,30441,38736,27745,8085
281918,244763,2116,21726,27859,19992,5806,2116,21726,27859,19992,5806
281920,397749,3362,35273,44716,32334,9440,3362,35273,44716,32334,9440
281928,403352,3454,35317,45142,32642,9396,3454,35317,45142,32642,9396
281931,214081,1880,19098,24073,17741,5041,1880,19098,24073,17741,5041
281932,461620,3976,40770,52174,37723,10923,3976,40770,52174,37723,10923
281939,1222613,10419,107421,138829,99279,28981,10419,107421,138829,99279,28981
281940,1156294,9995,101013,130817,93441,27244,9995,101013,130817,93441,27244
281961,1909696,16544,166876,215888,154782,45292,16544,166876,215888,154782,45292
