run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
258962,2580414,20440,765135,287713,740224,550189,20440,765135,287713,740224,550189
258964,754832,6223,228536,86520,222030,164871,6223,228536,86520,222030,164871
259088,168364,1403,50637,19456,49304,37895,1403,50637,19456,49304,37895
259090,26407,228,7867,3001,7757,5731,228,7867,3001,7757,5731
259091,95238,764,28428,11018,27901,21353,764,28428,11018,27901,21353
259096,364193,2945,110501,42299,108338,81832,2945,110501,42299,108338,81832
259099,2596557,21478,790605,302009,771375,584095,21478,790605,302009,771375,584095
259117,192013,1584,56654,21547,54940,41371,1584,56654,21547,54940,41371
259118,42556,324,12375,4815,12250,9269,324,12375,4815,12250,9269
259164,3568825,29117,1086952,412141,1046135,785447,29117,1086952,412141,1046135,785447
259269,143007,1166,43290,16153,42187,31278,1166,43290,16153,42187,31278
259270,214844,1765,65061,24724,62928,47349,1765,65061,24724,62928,47349
259271,415280,3484,125789,48159,121738,92468,3484,125789,48159,121738,92468
259272,632178,5182,190952,72355,186366,140012,5182,190952,72355,186366,140012
259273,657721,5516,200021,76824,193155,146529,5516,200021,76824,193155,146529
259274,385212,3076,116639,44538,113670,85319,3076,116639,44538,113670,85319
259302,152500,1193,44812,16935,43666,32472,1193,44812,16935,43666,32472
259305,515107,4108,154030,58525,148412,111489,4108,154030,58525,148412,111489
259307,177849,1431,54349,20134,52099,38860,1431,54349,20134,52099,38860
259334,2013495,16151,598549,227752,584687,440687,16151,598549,227752,584687,440687
259336,359765,2874,108753,41015,105457,79580,2874,108753,41015,105457,79580
259339,390415,3206,117899,44791,115329,86531,3206,117899,44791,115329,86531
259340,355724,2923,106444,40553,104790,79040,2923,106444,40553,104790,79040
259341,520814,4251,157031,59733,153267,115968,4251,157031,59733,153267,115968
259342,166348,1347,50628,18946,48815,36505,1347,50628,18946,48815,36505
259378,175736,1340,49965,19114,48845,36686,1340,49965,19114,48845,36686
259382,125273,947,36731,14434,35226,27065,947,36731,14434,35226,27065
259388,72587,558,20966,8017,20717,15523,558,20966,8017,20717,15523
259389,272231,2149,80234,30334,77435,58206,2149,80234,30334,77435,58206
259394,886007,7196,259369,100520,252618,193193,7196,259369,100520,252618,193193
259395,303099,2404,88426,34451,86176,65813,2404,88426,34451,86176,65813
259396,105443,824,31242,11971,30502,23230,824,31242,11971,30502,23230
259473,326385,2539,95792,36644,93016,69657,2539,95792,36644,93016,69657
259477,2216800,17762,657797,251614,636474,481227,17762,657797,251614,636474,481227
259747,299815,2243,96138,33588,91635,63893,2243,96138,33588,91635,63893
259748,59267,479,18883,6597,17968,12537,479,18883,6597,17968,12537
259750,378468,3023,122137,42587,116504,81049,3023,122137,42587,116504,81049
259751,434010,3405,140399,48981,134391,93619,3405,140399,48981,134391,93619
259752,520664,4186,167781,58920,160915,112596,4186,167781,58920,160915,112596
259756,825184,6696,267115,94182,256840,179986,6696,267115,94182,256840,179986
259781,213237,1641,59333,22666,57163,43670,1641,59333,22666,57163,43670
259788,39265,281,10883,4305,10474,8088,281,10883,4305,10474,8088
259822,299224,2273,84325,31870,80684,60923,2273,84325,31870,80684,60923
259841,742892,5640,209762,80522,202446,154092,5640,209762,80522,202446,154092
259842,325477,2595,91681,35473,88591,68112,2595,91681,35473,88591,68112
259860,1638624,12953,467036,179705,450317,344443,12953,467036,179705,450317,344443
259866,1709690,13430,491311,189675,470728,360431,13430,491311,189675,470728,360431
259867,336390,2712,98232,37510,93791,71446,2712,98232,37510,93791,71446
259868,490585,3979,142442,55007,135330,104948,3979,142442,55007,135330,104948
259888,176378,1297,49726,18946,47027,35536,1297,49726,18946,47027,35536
