run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
273591,220340,1884,19,367,25,76,1884,19,367,25,76
273592,184371,1672,24,324,25,73,1672,24,324,25,73
273593,274729,2513,36,452,34,97,2513,36,452,34,97
273653,708288,6130,85,1149,65,235,6130,85,1149,65,235
273654,5974325,52749,696,9802,648,1917,52749,696,9802,648,1917
273687,1990013,16692,267,3163,228,673,16692,267,3163,228,673
273689,1995774,16810,245,3173,232,658,16810,245,3173,232,658
273690,1991550,16847,278,3176,250,664,16847,278,3176,250,664
273695,1938753,16452,260,3067,222,663,16452,260,3067,222,663
273709,1993144,16900,263,3219,212,671,16900,263,3219,212,671
273711,1941189,16558,262,3156,227,648,16558,262,3156,227,648
273719,1441805,12322,171,2311,153,468,12322,171,2311,153,468
273824,193519,1582,16559,17279,14843,3457,1582,16559,17279,14843,3457
273825,910905,7704,60451,66002,53591,13367,7704,60451,66002,53591,13367
273885,147926,1218,9139,10335,8077,2111,1218,9139,10335,8077,2111
273886,360571,3005,24898,28863,22270,5916,3005,24898,28863,22270,5916
273887,2825086,23412,198302,229685,175947,46222,23412,198302,229685,175947,46222
273889,1887208,15791,132539,154797,117129,31008,15791,132539,154797,117129,31008
273918,619065,4963,42232,49403,37878,10105,4963,42232,49403,37878,10105
273942,756368,5965,51021,59641,45479,12061,5965,51021,59641,45479,12061
273943,57475,476,3822,4663,3478,974,476,3822,4663,3478,974
273946,430151,3537,29302,34677,25958,6998,3537,29302,34677,25958,6998
273985,2752911,22732,187942,219448,168011,44413,22732,187942,219448,168011,44413
273986,404778,3272,27583,32566,24572,6569,3272,27583,32566,24572,6569
274064,642262,5148,43951,50430,39504,10415,5148,43951,50430,39504,10415
274092,816757,6420,54459,62815,47806,12514,6420,54459,62815,47806,12514
274094,3440744,27773,231181,270248,204844,54497,27773,231181,270248,204844,54497
274125,913518,7331,59111,70491,52526,13947,7331,59111,70491,52526,13947
274147,640216,5032,41828,48841,36653,9756,5032,41828,48841,36653,9756
274148,319483,2491,20830,24792,18634,4943,2491,20830,24792,18634,4943
274174,85809,641,5567,6586,4796,1348,641,5567,6586,4796,1348
274212,418945,3205,26822,30834,23945,6332,3205,26822,30834,23945,6332
274232,146085,1158,9694,11234,8703,2299,1158,9694,11234,8703,2299
274258,33569,266,2087,2598,1894,528,266,2087,2598,1894,528
274259,411874,3136,25737,31252,23084,6174,3136,25737,31252,23084,6174
274263,376280,2985,23490,28334,20951,5729,2985,23490,28334,20951,5729
274264,202202,1613,13315,15485,11964,3068,1613,13315,15485,11964,3068
274269,1516290,11831,97422,116643,86917,23329,11831,97422,116643,86917,23329
274270,319061,2540,20409,24702,18342,5012,2540,20409,24702,18342,5012
274271,1728005,13929,110872,134354,99211,27170,13929,110872,134354,99211,27170
274278,180651,1470,11606,14147,10395,2879,1470,11606,14147,10395,2879
274280,799182,6716,52464,63153,46322,12399,6716,52464,63153,46322,12399
274281,519221,4257,34093,41377,30027,8179,4257,34093,41377,30027,8179
274283,305493,2516,20010,24247,18039,4889,2516,20010,24247,18039,4889
274329,3634541,28413,234361,283465,209593,56810,28413,234361,283465,209593,56810
274351,64645,501,4197,5115,3778,962,501,4197,5115,3778,962
274352,388689,2997,25323,30765,22798,6143,2997,25323,30765,22798,6143
274363,811155,6583,53527,64985,48020,13034,6583,53527,64985,48020,13034
274364,544744,4434,36109,43860,32336,8873,4434,36109,43860,32336,8873
274385,580117,4742,72,897,64,163,4742,72,897,64,163
274386,155751,1176,20,217,17,53,1176,20,217,17,53
274387,1973231,16162,238,3003,216,637,16162,238,3003,216,637
274388,1696443,13543,199,2454,187,514,13543,199,2454,187,514
274389,3544919,28376,435,5270,378,1071,28376,435,5270,378,1071
274390,3930149,31564,458,5760,398,1168,31564,458,5760,398,1168
274442,931667,7090,59785,71110,52641,14155,7090,59785,71110,52641,14155
