run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
294009,569361,4842,36259,42438,34867,9449,4842,36259,42438,34867,9449
294010,527707,4418,33675,39541,32483,8762,4418,33675,39541,32483,8762
294011,215533,1807,14034,16178,13407,3521,1807,14034,16178,13407,3521
294012,341716,2984,21487,25990,20582,5820,2984,21487,25990,20582,5820
294013,2938430,24951,186818,222429,179057,49498,24951,186818,222429,179057,49498
294131,381572,3152,32448,29087,31435,6925,3152,32448,29087,31435,6925
294152,1597497,13257,101449,119692,96435,26386,13257,101449,119692,96435,26386
294154,797441,6694,51116,60312,48454,13033,6694,51116,60312,48454,13033
294155,92094,787,6046,6880,5726,1477,787,6046,6880,5726,1477
294156,2407616,20072,154340,181277,146187,39076,20072,154340,181277,146187,39076
294199,2286976,19323,142827,165104,133037,35530,19323,142827,165104,133037,35530
294200,755908,6314,58133,57627,56057,13253,6314,58133,57627,56057,13253
294208,405157,3361,27368,30445,26307,6820,3361,27368,30445,26307,6820
294210,123772,1025,7961,9216,7554,2019,1025,7961,9216,7554,2019
294212,327956,2717,20896,24533,19919,5392,2717,20896,24533,19919,5392
294241,1512816,12270,98144,111665,92974,24491,12270,98144,111665,92974,24491
294242,184913,1447,11264,13646,10762,2913,1447,11264,13646,10762,2913
294307,562993,4733,35938,41854,34267,9133,4733,35938,41854,34267,9133
294310,459393,3964,30093,35039,28284,7688,3964,30093,35039,28284,7688
294524,93659,771,6137,7085,5679,1594,771,6137,7085,5679,1594
294525,727337,6319,48069,56575,45055,12380,6319,48069,56575,45055,12380
294526,249310,2099,17051,19703,15987,4289,2099,17051,19703,15987,4289
294529,1431534,12179,93543,110929,88310,23795,12179,93543,110929,88310,23795
294530,1148216,9848,75002,88834,71131,19155,9848,75002,88834,71131,19155
294531,2599465,22618,171172,202015,160732,43846,22618,171172,202015,160732,43846
294553,1999235,17034,131374,153654,124077,33582,17034,131374,153654,124077,33582
294556,1392489,11852,90628,107073,86299,23785,11852,90628,107073,86299,23785
294558,1097830,9356,71192,84736,67673,18440,9356,71192,84736,67673,18440
294562,48975,392,3332,3824,3119,828,392,3332,3824,3119,828
294563,744420,6419,48517,57116,45772,12447,6419,48517,57116,45772,12447
294586,3070944,25939,208119,234643,197111,51542,25939,208119,234643,197111,51542
294587,509113,4389,33786,39345,31510,8526,4389,33786,39345,31510,8526
294588,398809,3351,24655,29136,22849,6174,3351,24655,29136,22849,6174
294590,349945,3061,22733,26536,21892,5869,3061,22733,26536,21892,5869
294591,606234,5087,40684,46873,38086,10270,5087,40684,46873,38086,10270
294593,1755798,15047,114044,134256,106023,28596,15047,114044,134256,106023,28596
294632,613928,5191,39417,46302,37962,10081,5191,39417,46302,37962,10081
294633,2017040,16764,129351,151918,122796,33488,16764,129351,151918,122796,33488
294634,551376,4543,35191,42080,33551,9030,4543,35191,42080,33551,9030
294636,1198009,10211,76983,91364,73169,19927,10211,76983,91364,73169,19927
294653,393871,3361,24938,29503,23614,6436,3361,24938,29503,23614,6436
294715,98658,874,6276,7480,6009,1633,874,6276,7480,6009,1633
294716,500230,4226,32417,38278,30554,8370,4226,32417,38278,30554,8370
294721,554669,4827,35807,42325,33719,9329,4827,35807,42325,33719,9329
294722,2520377,21525,163896,192808,155120,41890,21525,163896,192808,155120,41890
294741,143366,1199,9053,10650,8660,2337,1199,9053,10650,8660,2337
294742,1066957,8961,67727,79204,64733,17305,8961,67727,79204,64733,17305
294743,463715,3745,29087,34331,28020,7615,3745,29087,34331,28020,7615
294744,650091,5330,41255,48547,39380,10864,5330,41255,48547,39380,10864
294745,1693349,14145,106749,126052,102443,27699,14145,106749,126052,102443,27699
294746,1096116,9221,68886,83116,66498,18148,9221,68886,83116,66498,18148
294747,946085,7943,59824,70324,57345,15692,7943,59824,70324,57345,15692
294769,372292,3095,23308,27350,22647,6101,3095,23308,27350,22647,6101
294774,1803993,15334,140586,136889,135927,32312,15334,140586,136889,135927,32312
294775,1707460,14346,116522,127975,112959,29155,14346,116522,127975,112959,29155
294805,465987,3906,28791,34122,27826,7565,3906,28791,34122,27826,7565
294815,1543785,12933,96746,114954,92742,25157,12933,96746,114954,92742,25157
294816,486495,4127,30779,36305,29570,7965,4127,30779,36305,29570,7965
294817,883623,7391,55108,66101,53905,14647,7391,55108,66101,53905,14647
294818,93118,798,5966,6931,5776,1516,798,5966,6931,5776,1516
294852,1015619,8438,60642,72664,57094,15689,8438,60642,72664,57094,15689
294875,1467846,12156,90425,107695,87700,24030,12156,90425,107695,87700,24030
294877,333179,2713,20639,24649,19927,5524,2713,20639,24649,19927,5524
294883,804479,6762,50380,59725,48741,13392,6762,50380,59725,48741,13392
294884,917228,7681,57747,68332,56150,15043,7681,57747,68332,56150,15043
294925,3608947,30447,228567,269744,219019,59490,30447,228567,269744,219019,59490
