run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
289370,735342,6106,38576,49719,37351,11222,3046,24768,27669,5054,987
289582,3244051,25891,186375,211322,178022,46522,13234,127177,124879,26449,4678
