run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
289240,523633,4154,27287,34152,26327,7632,4154,27287,34152,26327,7632
289242,2020045,16591,104750,134282,101269,29507,16591,104750,134282,101269,29507
289243,3795175,30765,197267,252020,190806,56148,30765,197267,252020,190806,56148
289253,1419446,11392,75464,94719,73370,21524,11392,75464,94719,73370,21524
289275,2421054,19261,122307,155011,118487,35028,19261,122307,155011,118487,35028
289276,440160,3624,22489,28456,22010,6553,3624,22489,28456,22010,6553
289277,904388,7315,46401,58891,44962,13356,7315,46401,58891,44962,13356
289278,496908,3920,25496,32109,24528,7077,3920,25496,32109,24528,7077
289280,256944,2089,13382,16787,12935,3717,2089,13382,16787,12935,3717
289281,43981,358,2251,2917,2342,638,358,2251,2917,2342,638
289300,310669,2407,15808,20218,15246,4489,2407,15808,20218,15246,4489
289303,1103716,8857,56660,72003,55173,16159,8857,56660,72003,55173,16159
289306,346567,2683,17560,22659,17133,5044,2683,17560,22659,17133,5044
289308,3834059,31436,201507,255534,194636,57460,31436,201507,255534,194636,57460
289309,783195,6514,41741,52424,40209,11713,6514,41741,52424,40209,11713
289426,517424,4312,27395,34119,26401,7795,4312,27395,34119,26401,7795
289444,4741758,39499,250788,320152,243563,72076,39499,250788,320152,243563,72076
289462,377008,3087,19507,24876,19069,5693,3087,19507,24876,19069,5693
289463,842006,6968,44797,56714,43800,12952,6968,44797,56714,43800,12952
289465,171803,1367,8876,11376,8545,2556,1367,8876,11376,8545,2556
289468,305023,2518,16141,20412,15634,4523,2518,16141,20412,15634,4523
289493,493185,3838,25077,32142,23805,7049,3838,25077,32142,23805,7049
289494,270121,2181,13539,17325,13162,3843,2181,13539,17325,13162,3843
289521,73111,558,3732,4746,3566,983,558,3732,4746,3566,983
289547,2829980,23044,143102,163308,136188,35529,23044,143102,163308,136188,35529
289721,323124,2565,16747,20942,16251,4771,2565,16747,20942,16251,4771
289729,1626085,13349,84762,108687,82568,24569,13349,84762,108687,82568,24569
289731,482486,3892,25016,31859,24365,7001,3892,25016,31859,24365,7001
289732,230139,1925,11951,15426,11692,3412,1925,11951,15426,11692,3412
289757,981341,7972,50787,64282,49297,14373,7972,50787,64282,49297,14373
289775,510218,3958,26373,33489,25321,7526,3958,26373,33489,25321,7526
289808,505903,4010,25889,33113,24607,7229,4010,25889,33113,24607,7229
289811,1301981,10665,67779,85807,64259,18601,10665,67779,85807,64259,18601
289815,1772372,14710,92726,118484,87490,25831,14710,92726,118484,87490,25831
289816,101061,864,5266,6853,4979,1489,864,5266,6853,4979,1489
289817,119815,958,6386,7853,5858,1767,958,6386,7853,5858,1767
289818,670839,5584,35394,45079,33358,9879,5584,35394,45079,33358,9879
289830,1456593,11904,76614,98401,72852,21312,11904,76614,98401,72852,21312
289849,935871,7541,48037,61404,45567,13249,7541,48037,61404,45567,13249
