run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
256207,3275910,26099,111387,209148,100221,40364,26099,111387,209148,100221,40364
256210,301634,2472,10435,19557,9278,3739,2472,10435,19557,9278,3739
256223,1522414,12174,77341,110343,72822,24617,12174,77341,110343,72822,24617
256225,3870005,31351,195951,280672,184397,61854,31351,195951,280672,184397,61854
256227,1158849,9741,40904,76958,36753,14789,9741,40904,76958,36753,14789
256231,1038166,8648,36107,69026,32474,13146,8648,36107,69026,32474,13146
256281,159324,1285,5247,9723,4764,1884,1285,5247,9723,4764,1884
256282,1310073,10315,44271,81914,39443,15546,10315,44271,81914,39443,15546
256283,2059745,16156,70321,131863,63077,25665,16156,70321,131863,63077,25665
256284,2086300,16973,71922,134706,64781,25759,16973,71922,134706,64781,25759
256289,2927548,24414,101592,190473,91379,36704,24414,101592,190473,91379,36704
256290,237045,1983,8087,15520,7292,3033,1983,8087,15520,7292,3033
256292,289481,2439,9936,19151,9063,3735,2439,9936,19151,9063,3735
256295,1253363,10429,44319,82324,39986,15944,10429,44319,82324,39986,15944
256297,879678,7229,30145,58241,26990,11113,7229,30145,58241,26990,11113
256298,243038,1967,8225,15997,7359,3019,1967,8225,15997,7359,3019
256299,1279067,10736,44646,83914,40035,16234,10736,44646,83914,40035,16234
256302,4507119,37621,157377,296792,141241,57432,37621,157377,296792,141241,57432
256307,4853312,40512,174029,323029,156774,62539,40512,174029,323029,156774,62539
256309,1018168,8380,36353,67922,32745,13163,8380,36353,67922,32745,13163
256311,700945,5797,24696,46703,22066,8853,5797,24696,46703,22066,8853
256356,199906,1436,6571,11675,5971,2272,1436,6571,11675,5971,2272
256357,1152660,8746,38286,70607,34427,13719,8746,38286,70607,34427,13719
256361,464111,3677,15386,28756,13857,5474,3677,15386,28756,13857,5474
256362,1283267,9909,43389,80256,38899,15518,9909,43389,80256,38899,15518
256363,1067669,8527,36011,67591,32138,12835,8527,36011,67591,32138,12835
256364,248896,2036,8285,15623,7418,2953,2036,8285,15623,7418,2953
256365,2269621,17974,77835,145930,69257,27851,17974,77835,145930,69257,27851
256366,1068242,8498,37641,69481,33532,13324,8498,37641,69481,33532,13324
256371,4200514,34417,147713,275238,132170,53080,34417,147713,275238,132170,53080
256372,466709,3744,16298,30481,14508,5818,3744,16298,30481,14508,5818
256373,3977737,33289,141083,263340,126209,50680,33289,141083,263340,126209,50680
256415,1657431,13110,56400,103643,49969,19822,13110,56400,103643,49969,19822
256417,3473885,27692,119171,221723,106319,42119,27692,119171,221723,106319,42119
256418,666481,5399,23469,43384,20819,8217,5399,23469,43384,20819,8217
256420,2568731,21243,89047,167048,79106,31617,21243,89047,167048,79106,31617
