run,CINT7,CEMC7,EG1,EG2,EJ1,EJ2,CDMC7,DG1,DG2,DJ1,DJ2
256941,131235,900,10379,13109,9023,2341,900,10379,13109,9023,2341
256942,684829,5136,57592,72262,50482,13498,5136,57592,72262,50482,13498
256944,134764,972,11580,14519,10077,2798,972,11580,14519,10077,2798
257011,208335,1523,16806,21524,14459,3953,1523,16806,21524,14459,3953
257012,800265,6261,67134,86445,58326,16021,6261,67134,86445,58326,16021
257021,1981737,15805,173499,223137,149903,41212,15805,173499,223137,149903,41212
257026,156573,1308,13984,18046,12246,3329,1308,13984,18046,12246,3329
257028,4611516,38115,429858,533637,377314,101296,38115,429858,533637,377314,101296
257077,1415970,11557,124556,161168,109120,30121,11557,124556,161168,109120,30121
257080,277785,2290,24526,31971,21606,5911,2290,24526,31971,21606,5911
257082,303520,2463,27209,34993,23846,6497,2463,27209,34993,23846,6497
257083,500726,4104,45095,58352,39135,10887,4104,45095,58352,39135,10887
257084,1031772,8574,93595,119377,81512,22070,8574,93595,119377,81512,22070
257092,3183865,26216,286081,371301,249334,68932,26216,286081,371301,249334,68932
257100,195440,1561,17584,22784,15314,4240,1561,17584,22784,15314,4240
257136,934251,7203,78974,100796,68540,18713,7203,78974,100796,68540,18713
257137,87054,667,7477,9554,6554,1751,667,7477,9554,6554,1751
257138,194278,1523,16632,21409,14420,3942,1523,16632,21409,14420,3942
257139,178650,1390,15626,19954,13605,3734,1390,15626,19954,13605,3734
257140,178300,1416,15529,19665,13597,3747,1416,15529,19665,13597,3747
257141,177023,1381,15314,19833,13471,3621,1381,15314,19833,13471,3621
257142,180571,1509,15935,20024,13656,3634,1509,15935,20024,13656,3634
257144,177630,1414,15506,19656,13439,3645,1414,15506,19656,13439,3645
257145,1070207,8540,93065,120130,81629,22697,8540,93065,120130,81629,22697
257204,146243,1152,12235,15864,10709,2906,1152,12235,15864,10709,2906
257206,607705,4728,51162,66310,44846,12403,4728,51162,66310,44846,12403
257209,3369853,26864,294036,378977,256431,70477,26864,294036,378977,256431,70477
257224,284640,2390,24933,32283,21517,5976,2390,24933,32283,21517,5976
257260,192086,1403,15548,19850,13568,3745,1403,15548,19850,13568,3745
257457,599324,4122,47438,60362,41357,11313,4122,47438,60362,41357,11313
257474,1498526,11403,125072,160058,109737,30161,11403,125072,160058,109737,30161
257487,374500,2875,31984,41010,28120,7719,2875,31984,41010,28120,7719
257490,3363077,26923,292292,379801,255511,70945,26923,292292,379801,255511,70945
257491,1885927,15436,169593,219323,148279,40761,15436,169593,219323,148279,40761
257492,123693,985,11312,14571,9699,2742,985,11312,14571,9699,2742
257530,1088766,7960,89312,112924,77361,21275,7960,89312,112924,77361,21275
257531,818096,6209,69345,87789,60198,16512,6209,69345,87789,60198,16512
257537,42867,333,3746,4917,3274,899,333,3746,4917,3274,899
257539,34197,278,2920,3708,2572,653,278,2920,3708,2572,653
257540,1239964,9885,106785,138669,92919,25935,9885,106785,138669,92919,25935
257541,1025796,8325,89424,115944,77787,21534,8325,89424,115944,77787,21534
257560,735852,5563,61385,78491,53599,14614,5563,61385,78491,53599,14614
257561,207702,1613,17624,22850,15382,4246,1613,17624,22850,15382,4246
257562,253365,1909,21229,27635,18459,5115,1909,21229,27635,18459,5115
257566,662936,5162,57255,74093,49609,13610,5162,57255,74093,49609,13610
257587,1493283,11552,125821,160944,109224,29798,11552,125821,160944,109224,29798
257590,1845597,14640,160299,206780,139603,38597,14640,160299,206780,139603,38597
257594,294007,2464,26400,33995,22430,6186,2464,26400,33995,22430,6186
257605,521223,4325,46671,60257,39957,11232,4325,46671,60257,39957,11232
257606,2002548,16235,182514,232810,156170,42999,16235,182514,232810,156170,42999
257630,5776245,46070,513410,649672,440493,120498,46070,513410,649672,440493,120498
257642,1373015,11107,125023,159239,106859,29547,11107,125023,159239,106859,29547
257682,611405,4456,51329,64700,44013,11994,4456,51329,64700,44013,11994
257684,654400,4993,55701,70830,47666,13239,4993,55701,70830,47666,13239
257687,1319045,10430,117222,148569,99234,27109,10430,117222,148569,99234,27109
257688,2512769,20166,222647,286358,190945,53071,20166,222647,286358,190945,53071
257689,691885,5576,61938,79585,52883,14666,5576,61938,79585,52883,14666
257691,56838,438,4958,6572,4374,1227,438,4958,6572,4374,1227
257692,447242,3539,40259,51620,34631,9508,3539,40259,51620,34631,9508
257694,112988,939,10192,13165,8688,2382,939,10192,13165,8688,2382
257697,878695,7229,79214,101776,67999,18918,7229,79214,101776,67999,18918
257724,218895,1703,18795,24167,16119,4535,1703,18795,24167,16119,4535
257725,1922013,15111,166718,214952,143404,39804,15111,166718,214952,143404,39804
